         11580714 function calls (11578651 primitive calls) in 50.141 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005    0.005    0.005 {built-in method _pycaitlyn.IndexSchema_metas}
    19140    0.003    0.000    0.005    0.000 /home/wolverine/bin/running/pycaitlynts3.py:328(get_sv_attr)
        3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap_external>:942(source_to_code)
        4    0.005    0.001    0.005    0.001 {built-in method builtins.compile}
     1744    0.002    0.000    0.005    0.000 /home/wolverine/bin/running/strategyc3.py:1219(tm)
    56/15    0.001    0.000    0.005    0.000 /usr/lib/python3.10/typing.py:1046(__getitem__)
      830    0.001    0.000    0.005    0.000 /home/wolverine/bin/running/strategyc3.py:940(_slip_price)
        1    0.000    0.000    0.005    0.005 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_core/multiarray.py:1(<module>)
       27    0.000    0.000    0.004    0.000 /home/wolverine/bin/running/pycaitlyn.py:11673(encode_string)
       27    0.004    0.000    0.004    0.000 {built-in method _pycaitlyn.TCDataCommunication_encode_string}
    13274    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
      216    0.001    0.000    0.004    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/iostream.py:1111(read_from_fd)
     1672    0.001    0.000    0.004    0.000 /home/wolverine/bin/running/strategyc3.py:854(now)
        1    0.000    0.000    0.004    0.004 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/_core/overrides.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/lib/format.py:1(<module>)
       17    0.000    0.000    0.004    0.000 /usr/lib/python3.10/sre_parse.py:944(parse)
       95    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap_external>:1174(create_module)
        2    0.003    0.002    0.004    0.002 {built-in method _imp.create_dynamic}
     2985    0.003    0.000    0.004    0.000 /home/wolverine/bin/running/pycaitlynts3.py:319(ready_to_serialize)
    64188    0.004    0.000    0.004    0.000 /home/wolverine/.cursor-server/extensions/ms-python.debugpy-2025.14.1-linux-arm64/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_io.py:93(flush)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.10/traceback.py:181(format_exc)
    38/17    0.000    0.000    0.004    0.000 /usr/lib/python3.10/sre_parse.py:436(_parse_sub)
    11165    0.002    0.000    0.004    0.000 /home/wolverine/bin/running/pycaitlyn.py:6872(set_int)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.10/traceback.py:124(format_exception)
       95    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      102    0.001    0.000    0.004    0.000 /usr/lib/python3.10/asyncio/base_events.py:705(call_later)
    45/18    0.002    0.000    0.004    0.000 /usr/lib/python3.10/sre_parse.py:494(_parse)
     1395    0.001    0.000    0.004    0.000 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/tornado/concurrent.py:185(future_set_result_unless_cancelled)
      216    0.004    0.000    0.004    0.000 {method 'recv_into' of '_socket.socket' objects}
    47069    0.004    0.000    0.004    0.000 {built-in method _pycaitlyn.Field_get_name}
        1    0.000    0.000    0.004    0.004 /home/wolverine/.pyenv/python3/lib/python3.10/site-packages/numpy/lib/_utils_impl.py:1(<module>)
